fips,pop
28127,27374
28129,16345
28131,18028
28133,28431
28135,15111
28137,28490
28139,22025
28141,19591
28143,10475
28145,27414
28147,15100
28149,48084
28151,49750
28153,20661
28155,10039
28157,9432
28159,19029
28161,12401
28163,28195
29001,25581
29003,17417
29005,5517
29007,25621
29009,35546
29011,12337
29013,16709
29015,18962
29017,12382
29019,168535
29021,89706
29023,43053
29025,9145
29027,44305
29029,43845
29031,76950
29033,9086
29035,6262
29037,100376
29039,13799
29041,7649
29043,79824
29045,6969
29047,227577
29049,20508
29051,76363
29053,17520
29055,24832
29057,7568
29059,16799
29061,8239
29063,12940
29065,15647
29067,13585
29069,31826
29071,101412
29073,14972
29075,6777
29077,280626
29079,10338
29081,8728
29083,22153
29085,9391
29087,4655
29089,10169
29091,40629
29093,10374
29095,677377
29097,115258
29099,220209
29101,54397
29103,4082
29105,35417
29107,33080
29109,38467
29111,10174
29113,53354
29115,12484
29117,15037
29119,22876
29121,15573
29123,12448
29125,9014
29127,28745
29129,3729
29131,24817
29133,14322
29135,15625
29137,8703
29139,11996
29141,20117
29143,18488
29145,59069
29147,23419
29149,10997
29151,13858
29153,9601
29155,18111
29157,19018
29159,42319
29161,44987
29163,18565
29165,92054
29167,31017
29169,53259
29171,4931
29173,10277
29175,25330
29177,23064
29179,6667
29181,14036
29183,368666
29185,9474
29186,17740
29187,65917
29189,1000438
29195,23339
29197,4370
29199,4877
29201,39139
29203,8318
29205,6234
29207,29795
29209,31568
29211,6546
29213,52956
29215,25810
29217,20748
29219,32753
29221,25095
29223,13402
29225,36351
29227,2079
29229,18629
29510,318172
30001,9346
30003,13061
30005,6683
30007,5756
30009,10127
30011,1177
30013,81723
30015,5904
30017,11888
30019,1786
30021,9249
30023,9227
30025,3024
30027,11435
30029,91633
30031,92614
30033,1261
30035,13711
30037,839
30039,3109
30041,16366
30043,11401
30045,2024
30047,28986
30049,64876
30051,2392
30053,19491
30055,1701
30057,7733
30059,1924
30061,4167
30063,110977
30065,4665
30067,15567
30069,511
30071,4128
30073,6165
30075,1763
30077,7096
30079,1157
30081,40617
30083,10810
30085,10927
30087,9396
30089,11408
30091,3580
30093,34403
30095,9195
30097,3605
30099,6053
30101,5220
30103,736
30105,7505
30107,2104
30109,1057
30111,151882
31001,31459
31003,6545
31005,486
31007,760
31009,514
31011,5417
31013,11317
31015,2054
31017,3023
31019,47463
31021,6659
31023,8295
31025,25133
31027,8746
31029,4064
31031,5727
31033,10068
31035,6411
31037,10653
31039,9072
31041,10740
31043,20918
31045,9152
31047,24220
31049,1972
31051,5918
31053,36427
31055,531265
31057,2021
31059,5771
31061,3188
31063,2741
31065,4907
31067,21806
31069,1953
31071,2007
31073,2029
31075,629
31077,2458
31079,60345
31081,9011
